alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb,type,url,video
,Philips Senseo,8710103941217,https://d.otto.de/files/ea126b57-b8a9-5189-be8a-d3c4ba1de446.pdf,,Kaffeepadmaschine Select CSA240/90,,Kaffeepadmaschinen,de,Kaffeepadmaschinen,,otto.de,https://i.otto.de/i/otto/b91b6e6c-bd86-5297-8cef-914a64a969d1/philips-senseo-kaffeepadmaschine-select-csa240-90-inkl-gratis-zugaben-im-wert-von-14-uvp.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/philips-senseo-kaffeepadmaschine-select-csa240-90-inkl-gratis-zugaben-im-wert-von-14-uvp-1324605550/,
,Philips Senseo,8720389019708,https://d.otto.de/files/bf389919-2e38-51a7-894a-40b9e640b7f0.pdf,,Kaffeepadmaschine Maestro CSA260/65,,Kaffeepadmaschinen,de,Kaffeepadmaschinen,,otto.de,https://i.otto.de/i/otto/3c410a0b-e489-5c8a-964d-8e3ef4606d3e/philips-senseo-kaffeepadmaschine-maestro-csa260-65-200-senseo-pads-kaufen-und-bis-64-zurueckerhalten.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/philips-senseo-kaffeepadmaschine-maestro-csa260-65-200-senseo-pads-kaufen-und-bis-64-zurueckerhalten-C1678567668/,
,De'Longhi,8004399331273,https://d.otto.de/files/8dff964e-ea70-549b-a853-ec9143071117.pdf,,Kaffeevollautomat Magnifica S ECAM 21.118.B,,Kaffeevollautomaten,de,Kaffeevollautomaten,,otto.de,https://i.otto.de/i/otto/179e2d57-9560-5c9f-b6db-f33945681fa2/de-longhi-kaffeevollautomat-magnifica-s-ecam-21-118-b.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/de-longhi-kaffeevollautomat-magnifica-s-ecam-21-118-b-1628116682/,
,Saeco,8720389003479,https://d.otto.de/files/8762f983-d462-5191-b82b-4537eefc9747.pdf,,GranAroma SM6580/50,,Kaffeevollautomaten,de,Kaffeevollautomaten,,otto.de,https://i.otto.de/i/otto/adcf46b3-a771-51cd-babb-e755d34ea2b4/saeco-kaffeevollautomat-granaroma-sm6580-50-individuelle-personalisierung-coffeemaestro-14-kaffeespezialitaeten.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/saeco-kaffeevollautomat-granaroma-sm6580-50-individuelle-personalisierung-coffeemaestro-14-kaffeespezialitaeten-1349208330/,
,Saeco,8720389003394,https://d.otto.de/files/b4ec24e2-65ff-588a-b5b8-d3a4e631dba9.pdf,,GranAroma SM6580/00,,Kaffeevollautomaten,de,Kaffeevollautomaten,,otto.de,https://i.otto.de/i/otto/7b8d776f-a946-5a16-83b6-02ea4d37bfd0/saeco-kaffeevollautomat-granaroma-sm6580-00-individuelle-personalisierung-coffeemaestro-14-kaffeespezialitaeten.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/saeco-kaffeevollautomat-granaroma-sm6580-00-individuelle-personalisierung-coffeemaestro-14-kaffeespezialitaeten-1349208332/,
,SIEMENS,4242003803530,https://d.otto.de/files/31185922.pdf,,EQ.6 plus s400 TE654509DE,,Kaffeevollautomaten,de,Getränkesirup,,otto.de,https://i.otto.de/i/otto/36c3fa7f-d418-506f-b3f5-ca9768ff523e/siemens-kaffeevollautomat-eq-6-plus-s400-te654509de-inkl-milchbehaelter-im-wert-von-uvp-49-90.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/siemens-kaffeevollautomat-eq-6-plus-s400-te654509de-inkl-milchbehaelter-im-wert-von-uvp-49-90-628362489/,
,WMF,4211129072403,https://d.otto.de/files/31169467.pdf,,Kult X Mix & Go,,Smoothie-Maker,de,Getränkesirup,,otto.de,https://i.otto.de/i/otto/a60fdb6f-773e-5cfe-85f4-0dd3f8e504f9/wmf-smoothie-maker-kult-x-mix-go-300-w.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/wmf-smoothie-maker-kult-x-mix-go-300-w-C424672315/,
,De'Longhi,8004399332515,https://d.otto.de/files/18959222.pdf,,Dinamica ECAM 358.15.B,,Kaffeevollautomaten,de,Kaffeemaschinen mit Mahlwerk,,otto.de,https://i.otto.de/i/otto/a6061825-db0f-5eb5-8f91-312a11064751/de-longhi-kaffeevollautomat-dinamica-ecam-358-15-b-sensor-bedienfeld-inkl-pflegeset-im-wert-von-31-99-uvp.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/de-longhi-kaffeevollautomat-dinamica-ecam-358-15-b-sensor-bedienfeld-inkl-pflegeset-im-wert-von-31-99-uvp-535970912/,
,SIEMENS,4242003806340,https://d.otto.de/files/31185173.pdf,,EQ.6 plus s700 TE657503DE,,Kaffeevollautomaten,de,Kaffeemaschinen mit Mahlwerk,,otto.de,https://i.otto.de/i/otto/b0669837-fe46-5d1d-8a6f-66dde3b2e973/siemens-kaffeevollautomat-eq-6-plus-s700-te657503de-2-tassen-gleichzeitig-4-profile-beleuchtetes-tassenpodest.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/siemens-kaffeevollautomat-eq-6-plus-s700-te657503de-2-tassen-gleichzeitig-4-profile-beleuchtetes-tassenpodest-628363879/,
,Grundig,4013833018025,https://d.otto.de/files/30630580.pdf,,CM 6760,,Kaffeemühlen,de,Kaffeemühlen,,otto.de,https://i.otto.de/i/otto/b5afd7cb-a620-5f73-b098-a51619f314c0/grundig-kaffeemuehle-cm-6760-130-w-scheibenmahlwerk-350-g-bohnenbehaelter.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/grundig-kaffeemuehle-cm-6760-130-w-scheibenmahlwerk-350-g-bohnenbehaelter-C781117380/,
,Sage,9312432030144,https://d.otto.de/files/31027783.pdf,,The Barista Express,,Espressomaschinen,de,Espressomaschinen,,otto.de,https://i.otto.de/i/otto/f51b96b3-708b-517d-88d8-e82656cc4091/sage-espressomaschine-the-barista-express-ses875bss2eeu1a.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/sage-espressomaschine-the-barista-express-ses875bss2eeu1a-784794016/,
,Severin,4008146034992,https://d.otto.de/files/e3556d91-063d-54dc-9994-10e826d2de95.pdf,,KA 5830,,Filterkaffeemaschinen,de,Kaffeebereiter,,otto.de,https://i.otto.de/i/otto/93a5eff1-49f2-5e11-90be-a04cf78229c4/severin-filterkaffeemaschine-ka-5830-doppel-kaffeeautomat-mit-2-thermokannen-fuer-bis-zu-16-tassen.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/severin-filterkaffeemaschine-ka-5830-doppel-kaffeeautomat-mit-2-thermokannen-fuer-bis-zu-16-tassen-CS054O0M3/,
